nbn_taxon_version_key_for_recommended_name,taxon_latest,alkaline_fen
NBNSYS0000004184,Pinguicula vulgaris,TRUE
NHMSYS0000310312,Plagiomnium elatum,TRUE
NHMSYS0000310313,Plagiomnium ellipticum,TRUE
NHMSYS0000310315,Plagiomnium rostratum,TRUE
NBNSYS0000035971,Pleurozia purpurea,FALSE
NHMSYS0000310397,Polytrichum strictum,FALSE
NBNSYS0000002128,Potamogeton coloratus,TRUE
NHMSYS0000461999,Potamogeton polygonifolius,FALSE
NBNSYS0000003349,Potentilla erecta,TRUE
NBNSYS0000022262,Preissia quadrata,TRUE
NBNSYS0000003924,Primula farinosa,FALSE
NHMSYS0000310499,Pseudobryum cinclidioides,FALSE
NBNSYS0000004401,Pulicaria dysenterica,TRUE
NBNSYS0000004592,Pyrola rotundifolia,FALSE
NBNSYS0000002718,Ranunculus flammula,TRUE
NBNSYS0000002717,Ranunculus lingua,TRUE
NHMSYS0000310568,Rhizomnium pseudopunctatum,TRUE
NBNSYS0000002407,Rhynchospora alba,FALSE
NBNSYS0000036031,Riccardia chamedryfolia,TRUE
NHMSYS0000310444,Riccardia multifida,TRUE
NHMSYS0000462978,Rumex hydrolapathum,TRUE
NBNSYS0000003051,Sagina nodosa,TRUE
NBNSYS0000003874,Salix aurita,TRUE
NBNSYS0000003858,Salix pentandra,FALSE
NBNSYS0000003876,Salix phylicifolia,FALSE
NBNSYS0000003877,Salix repens,FALSE
NBNSYS0000003862,Salix triandra,TRUE
NBNSYS0000003866,Salix viminalis,TRUE
NBNSYS0000003947,Samolus valerandi,TRUE
NHMSYS0021194734,Sarmentypnum exannulatum,FALSE
NBNSYS0000156307,Sarmentypnum sarmentosum,FALSE
NBNSYS0000003506,Saxifraga aizoides,FALSE
NBNSYS0000002119,Scheuchzeria palustris,FALSE
NBNSYS0000002406,Schoenus ferrugineus,FALSE
NBNSYS0000002405,Schoenus nigricans,TRUE
NBNSYS0000156552,Scorpidium cossonii,TRUE
NBNSYS0000156554,Scorpidium revolvens,TRUE
NBNSYS0000036840,Scorpidium scorpioides,TRUE
NBNSYS0000004079,Scrophularia auriculata,TRUE
NBNSYS0000004259,Scutellaria galericulata,TRUE
NHMSYS0000463361,Scutellaria minor,FALSE
NHMSYS0000463411,Selaginella selaginoides,FALSE
NBNSYS0000003701,Selinum carvifolia,FALSE
NBNSYS0000156751,Silene flos-cuculi,TRUE
NBNSYS0000003685,Sium latifolium,TRUE
NBNSYS0000004541,Sonchus palustris,FALSE
NBNSYS0000002361,Sparganium erectum,TRUE
NBNSYS0000002368,Sparganium natans,FALSE
NBNSYS0000157062,Sphagnum auriculatum,FALSE
NHMSYS0000310660,Sphagnum capillifolium,FALSE
NHMSYS0020083535,Sphagnum contortum,FALSE
NHMSYS0000310667,Sphagnum fimbriatum,TRUE
NHMSYS0000310674,Sphagnum inundatum,FALSE
NBNSYS0000036070,Sphagnum palustre,TRUE
NBNSYS0000036069,Sphagnum papillosum,FALSE
NHMSYS0000310683,Sphagnum pulchrum,FALSE
NHMSYS0000310665,Sphagnum recurvum,TRUE
NHMSYS0000310661,Sphagnum rubellum,FALSE
NBNSYS0000036072,Sphagnum squarrosum,TRUE
NHMSYS0000310691,Sphagnum subnitens,TRUE
NHMSYS0000310698,Sphagnum subsecundum,FALSE
NHMSYS0000310702,Sphagnum teres,FALSE
NHMSYS0000310704,Sphagnum warnstorfii,FALSE
NBNSYS0000002298,Spiranthes romanzoffiana,FALSE
NHMSYS0000464004,Stellaria alsine,TRUE
NHMSYS0000464012,Stellaria palustris,TRUE
NHMSYS0020695911,Straminergon stramineum,FALSE
NBNSYS0000004352,Succisa pratensis,TRUE
NBNSYS0000003984,Symphytum officinale,TRUE
NBNSYS0000002744,Thalictrum flavum,TRUE
NBNSYS0000002081,Thelypteris palustris,TRUE
NHMSYS0021240774,Thyselium palustre,FALSE
NHMSYS0000464469,Tofieldia pusilla,FALSE
NBNSYS0000158083,Tomentypnum nitens,FALSE
NBNSYS0000002120,Triglochin palustris,TRUE
NBNSYS0000002370,Typha angustifolia,TRUE
NBNSYS0000002369,Typha latifolia,TRUE
NHMSYS0100003189,Utricularia intermedia,FALSE
NBNSYS0000004190,Utricularia minor,TRUE
NBNSYS0000003918,Vaccinium oxycoccos,FALSE
NBNSYS0000004345,Valeriana dioica,TRUE
NBNSYS0000004343,Valeriana officinalis,TRUE
NBNSYS0000004101,Veronica scutellata,TRUE
NBNSYS0000002939,Viola palustris,FALSE
NBNSYS0000157062,Viola stagnina,FALSE
